idadenumero  sexo  glabela  fronte  incisivos  mentoredondo  mentoproeminencia  orbita
PosPuberal  Feminino  PoucoProeminente  Vertical  Redondo  Arredondado  Discreto  Angulosa
Adulto  Feminino  NadaProeminente  Inclinada  Quadrado  MuitoArredondado  Proeminente  Redonda
Velho  Masculino  MuitoProeminente  Vertical  Quadrado  Quadrado  MuitoDiscreto  Angulosa
Adulto  Feminino  NadaProeminente  MuitoInclinada  Redondo  Arredondado  Proeminente  Redonda
PosPuberal  Feminino  NadaProeminente  Inclinada  MuitoRedondo  MuitoQuadrado  Discreto  Angulosa
Adulto  Feminino  PoucoProeminente  Vertical  Redondo  Quadrado  Proeminente  Angulosa
Adulto  Masculino  PoucoProeminente  Inclinada  Quadrado  MuitoArredondado  MuitoProeminente  Angulosa
Adulto  Masculino  Proeminente  Inclinada  Redondo  MuitoQuadrado  Discreto  Angulosa
Adulto  Masculino  Proeminente  Vertical  Quadrado  MuitoArredondado  Proeminente  Angulosa
Adulto  Feminino  PoucoProeminente  Vertical  Quadrado  Arredondado  Proeminente  Redonda
Adulto  Feminino  PoucoProeminente  MuitoVertical  Quadrado  Arredondado  MuitoProeminente  Redonda
Adulto  Feminino  PoucoProeminente  MuitoVertical  Redondo  Quadrado  Proeminente  Angulosa
Velho  Masculino  MuitoProeminente  Vertical  Quadrado  Quadrado  MuitoDiscreto  Angulosa
Adulto  Masculino  Proeminente  Vertical  Quadrado  Quadrado  Proeminente  Angulosa
Adulto  Masculino  Proeminente  Inclinada  Quadrado  Quadrado  Discreto  MuitoRedonda
Adulto  Feminino  NadaProeminente  MuitoInclinada  Redondo  Quadrado  Discreto  Redonda
Adulto  Feminino  PoucoProeminente  Vertical  Redondo  Arredondado  Proeminente  Redonda
Adulto  Feminino  NadaProeminente  Inclinada  Redondo  Arredondado  Discreto  Angulosa
Adulto  Feminino  NadaProeminente  MuitoInclinada  Quadrado  Quadrado  Proeminente  Redonda
Adulto  Masculino  PoucoProeminente  MuitoInclinada  Quadrado  MuitoArredondado  Proeminente  Angulosa
Adulto  Feminino  NadaProeminente  MuitoInclinada  Quadrado  Quadrado  Proeminente  Redonda
Adulto  Feminino  PoucoProeminente  Inclinada  Redondo  Quadrado  MuitoProeminente  Redonda
Adulto  Masculino  NadaProeminente  MuitoInclinada  Quadrado  Arredondado  Proeminente  Angulosa
PosPuberal  Masculino  PoucoProeminente  MuitoInclinada  Redondo  MuitoQuadrado  Discreto  Angulosa
Adulto  Masculino  PoucoProeminente  MuitoInclinada  Quadrado  MuitoArredondado  MuitoProeminente  Angulosa
Adulto  Masculino  Proeminente  Inclinada  Quadrado  Quadrado  MuitoDiscreto  Angulosa
Adulto  Feminino  PoucoProeminente  Vertical  Redondo  Arredondado  Proeminente  Redonda
PosPuberal  Masculino  PoucoProeminente  Inclinada  MuitoQuadrado  MuitoArredondado  MuitoDiscreto  Angulosa
Adulto  Feminino  NadaProeminente  MuitoInclinada  Redondo  Quadrado  MuitoProeminente  Redonda
Adulto  Masculino  MuitoProeminente  MuitoVertical  Redondo  Quadrado  Proeminente  Angulosa
